id,Status,Time,Amount,Price
1,good,60,800,846
2,good,60,1000,1658
3,bad,36,2000,2985
5,good,36,310,910
6,good,60,650,1645
7,good,60,1600,1800
8,good,12,200,1093
9,good,60,1200,1957
10,bad,48,1200,1468
11,good,48,1150,1577
12,good,36,650,915
14,good,36,600,940
15,bad,18,400,500
16,good,24,900,1186
17,good,24,1500,2201
18,good,24,600,1350
20,good,60,1250,1253
22,good,60,1100,1159
23,bad,60,600,1332
24,good,60,950,1497
25,good,60,1350,1357
28,good,36,1800,2557
31,bad,36,400,400
32,good,24,450,650
33,good,36,1000,1394
37,good,48,800,1200
39,good,60,1125,1300
41,good,60,900,1167
42,good,60,950,1150
43,bad,60,1250,1566
44,bad,60,1500,1552
45,good,60,1150,1300
46,good,60,2100,2104
47,good,36,1500,2154
48,bad,36,450,545
49,good,36,750,1778
50,good,60,1600,1718
51,good,60,900,1500
54,good,12,500,1701
55,bad,48,1000,1345
56,good,60,1000,1238
57,good,30,500,1048
58,good,24,600,1048
60,good,60,1830,2201
61,good,48,1100,1430
62,bad,42,600,926
63,good,24,1000,1500
64,good,36,1000,1542
65,good,60,1350,1360
67,good,60,1200,1564
68,good,60,850,1205
69,good,60,2000,2200
70,good,36,900,2214
71,good,60,1000,1137
72,good,48,600,1025
73,good,36,800,1593
74,good,24,700,1735
75,good,60,1000,1132
76,good,12,500,1338
77,good,36,900,1100
78,good,36,1750,2276
79,good,48,900,1360
81,good,36,550,612
82,bad,36,850,1100
84,good,60,1000,2089
85,good,24,500,2262
86,good,60,600,1054
87,good,60,1426,1426
88,bad,60,1040,1048
89,bad,60,1000,1292
91,bad,60,1490,1490
92,good,36,750,850
94,good,48,1400,1571
95,good,36,1000,1000
96,bad,36,250,270
97,good,60,950,1382
98,good,36,1500,1713
99,good,60,800,1086
100,good,48,1500,3262
101,good,60,1100,1610
102,good,60,600,1030
103,bad,36,650,650
104,bad,48,1950,2175
105,good,24,400,1780
107,bad,60,1200,1211
108,good,60,1600,1650
109,bad,36,350,350
110,good,60,950,1117
113,bad,36,1000,1210
114,good,48,670,963
115,bad,36,1200,1646
116,bad,36,800,800
117,good,36,460,470
118,good,24,950,1370
119,good,48,700,839
120,good,60,600,1346
121,good,60,900,1350
122,bad,60,1800,2100
123,good,60,1300,1307
124,good,60,1100,1126
125,good,48,2380,4786
126,bad,60,1400,1478
127,good,60,1550,1568
128,good,24,650,1056
129,good,18,1000,1608
130,good,60,950,1179
131,bad,60,1400,1524
132,good,60,1300,1730
133,good,30,600,823
134,good,60,700,800
135,good,60,1300,1482
136,good,60,900,1110
137,bad,60,1150,1555
138,good,60,1100,1170
139,good,12,500,886
140,bad,60,800,1395
141,good,36,1000,2084
142,good,24,3800,8800
143,good,36,1000,1160
144,good,60,900,1211
145,bad,60,1300,1300
146,bad,36,850,850
147,good,60,700,1204
150,good,18,300,600
151,bad,48,1000,1320
152,good,60,1100,1300
154,bad,60,1400,1426
155,good,24,1500,5200
157,good,48,1200,1449
158,good,60,700,1422
160,good,30,1550,1578
162,good,36,1500,2260
165,bad,48,930,945
166,good,12,900,1694
167,bad,36,600,700
168,good,48,600,1290
169,good,60,1300,1581
170,good,48,1000,1383
171,good,60,1350,1637
172,good,54,1275,1275
173,bad,60,1400,1400
174,good,24,600,832
175,good,36,1886,2886
176,bad,60,1200,1257
178,good,60,800,1138
179,good,12,300,1801
180,bad,48,900,1200
182,good,60,1400,1589
183,good,48,1200,1617
185,good,60,1400,2194
187,bad,60,1200,1423
188,good,12,600,1600
189,bad,24,700,700
190,good,24,200,300
191,good,36,1000,1165
193,good,12,500,1706
194,bad,36,1600,2053
195,good,60,1000,1700
197,good,60,1177,1300
198,good,36,870,1122
199,good,60,1200,1257
200,good,60,1050,1387
201,good,48,1000,1266
203,good,24,700,2004
204,good,60,1100,1203
205,good,36,750,1138
206,good,48,1200,1374
208,good,24,400,750
209,good,24,800,1894
211,good,24,400,1369
213,bad,36,750,1218
214,good,60,1200,1637
215,bad,60,750,953
216,good,60,1100,1212
217,good,36,1000,1218
218,good,24,1000,1419
219,good,60,1100,1100
220,good,60,900,987
223,good,48,1000,1595
224,good,60,984,1054
225,good,36,1000,1651
226,good,30,300,1542
228,good,60,1800,2624
229,bad,60,1000,1135
230,good,24,600,1105
231,good,60,1500,1500
232,bad,24,800,1200
233,good,60,1150,1555
234,good,48,800,2251
236,good,36,1200,2186
237,good,48,1700,1700
238,good,60,600,1180
240,bad,60,1350,1668
241,good,36,1500,1750
242,good,48,600,875
243,good,60,1000,1514
244,bad,60,1700,1950
245,bad,60,950,1462
247,good,60,800,840
249,good,48,1540,1603
250,good,60,1200,1200
253,good,42,1100,1395
254,good,60,1200,1390
256,good,60,1300,1604
257,good,60,1000,1241
259,good,36,700,1045
261,good,36,900,900
262,good,48,1660,1698
263,good,12,200,1048
264,good,36,1000,2200
265,good,60,770,1119
266,good,36,700,1090
267,bad,36,3000,4100
269,good,60,1000,2010
271,good,60,1000,1342
273,bad,42,900,1048
275,good,48,900,1114
276,bad,60,1000,1206
279,good,60,1000,1094
280,good,36,550,550
281,good,48,1200,1255
282,good,36,2000,4138
283,good,60,1700,1714
284,good,48,1100,1150
285,good,24,1500,2673
286,good,60,1200,1630
287,good,60,1100,1544
288,good,60,1000,1195
289,good,36,400,1206
290,good,60,1400,2050
291,good,36,1200,1513
292,good,6,3000,3300
294,bad,60,1000,1339
295,bad,60,875,875
296,good,18,500,1101
297,good,60,1000,1568
298,good,42,750,1194
299,bad,60,950,1378
301,good,24,350,350
302,bad,60,1150,1406
303,good,60,1200,1497
304,bad,36,1400,1600
306,bad,60,2000,2032
307,good,36,1400,2610
308,good,12,500,1193
309,bad,60,1200,1275
310,bad,36,3250,3750
311,good,60,1300,2500
312,good,36,1000,1790
314,good,30,700,1480
315,good,36,600,1542
316,bad,60,1500,1850
317,good,48,600,1380
318,good,42,1200,1888
319,bad,48,1100,1672
320,good,48,700,808
321,bad,60,1100,1107
323,good,60,1190,1390
324,good,60,1150,1363
325,good,60,1450,1482
326,good,60,1900,2357
327,bad,60,600,850
328,good,60,1000,1180
329,good,48,825,1617
333,good,60,800,1380
334,good,60,700,1529
336,good,48,1550,1600
338,good,48,1000,1520
339,good,60,1500,1617
340,good,60,1100,1500
341,good,60,1000,1705
342,good,30,600,1292
343,good,48,1100,1294
345,bad,48,1850,2143
348,good,48,500,1600
349,good,60,1250,1563
350,good,60,1250,1284
351,bad,60,890,990
352,good,60,600,1125
353,good,48,1000,1267
358,good,60,750,1244
359,bad,60,1000,1403
360,good,60,1400,1980
361,good,60,900,1290
362,bad,36,600,1339
363,good,60,1500,1559
364,bad,60,200,1078
365,good,60,860,1113
366,good,18,1000,2290
367,good,60,1000,1578
368,good,48,500,1039
369,good,60,800,1218
370,good,60,300,1329
373,bad,60,1300,1553
374,good,48,1000,1626
376,good,18,200,1500
377,good,36,600,1421
379,good,48,1000,1274
380,good,48,1200,1580
382,bad,48,1150,1314
384,good,60,1000,1500
385,good,36,1300,1504
387,good,48,1000,1028
388,bad,48,1300,1440
389,good,12,500,1030
390,good,48,1200,1366
391,bad,60,1700,1768
392,bad,36,1500,2340
393,bad,48,1400,1700
394,good,60,910,1450
395,good,48,500,1155
396,bad,48,1000,1191
397,good,12,600,841
398,bad,60,2200,2441
399,bad,48,1200,1516
400,good,60,400,1591
401,bad,60,1350,1999
402,good,60,1200,1336
403,bad,36,1150,1600
404,good,60,1400,1850
405,good,60,1400,1775
406,good,36,700,1224
408,good,60,1250,1500
409,bad,60,1900,2225
410,good,60,1600,1930
411,good,60,1400,1607
412,good,36,1000,1230
413,good,24,1400,1581
414,good,60,790,1072
415,bad,36,1200,1471
416,bad,60,500,1300
417,good,60,1150,1192
418,good,48,2400,2700
419,good,36,450,500
420,bad,36,1100,1720
421,good,48,1350,1770
422,bad,48,1100,1197
423,good,60,700,950
427,bad,60,1135,1355
428,good,60,890,1196
429,good,60,1100,1297
430,bad,48,1200,1420
431,good,48,850,1036
432,good,60,800,1201
433,good,60,1000,1527
434,bad,60,1300,1500
435,good,48,950,1057
437,bad,48,1000,2218
438,good,60,1200,1570
439,good,24,250,650
440,good,60,700,1175
441,good,60,700,825
445,good,60,1850,2150
446,bad,48,1340,1771
448,good,24,450,994
449,good,60,870,1147
450,bad,60,1100,1194
451,bad,36,700,825
452,good,36,1000,1128
453,good,36,360,360
454,good,48,500,1190
455,good,60,1400,1580
456,good,24,1100,1600
458,good,60,1500,2178
459,bad,60,1350,1589
460,good,60,1500,1828
461,bad,48,757,1566
462,good,60,1200,1250
464,good,60,1350,1414
466,good,60,1100,1638
467,good,60,1100,1296
469,good,36,700,1400
471,good,30,1050,1559
472,good,60,1200,1315
474,good,48,1000,1208
475,good,60,800,975
476,good,60,1200,1274
477,good,48,900,1197
479,good,36,900,1100
481,bad,54,1800,2646
482,bad,60,1500,1816
483,bad,60,1400,1700
484,good,48,1300,1700
485,good,54,500,984
486,good,60,1000,1387
487,good,48,450,1636
488,good,60,1000,1135
489,bad,60,1350,1453
490,good,60,1400,1500
491,good,48,800,1350
492,good,60,1850,2247
493,good,60,1150,1367
495,bad,60,1800,2154
496,bad,36,750,1100
497,good,60,900,1492
498,bad,60,800,1351
499,bad,60,1500,2040
500,good,60,1000,1037
501,bad,48,1200,1202
502,good,48,1500,1683
503,bad,24,500,1000
504,good,48,1000,1100
505,good,48,1700,1734
506,good,60,1600,1604
507,good,60,1000,1330
508,bad,60,800,877
509,good,36,1100,1759
510,bad,48,970,1564
511,good,60,1100,1306
512,good,24,500,1108
513,bad,36,350,1500
515,good,60,1300,1500
516,good,60,2200,2625
518,good,42,1500,2178
521,good,36,200,325
522,bad,60,1350,1471
523,good,48,260,1440
524,good,60,1200,2140
526,good,60,1250,1780
527,good,18,700,818
528,good,60,650,1017
529,good,36,1000,1788
531,good,36,1000,1800
532,bad,54,1300,1394
533,bad,36,250,400
534,good,36,850,940
536,good,36,1300,1439
539,good,36,1000,1500
540,good,60,1200,1258
542,good,60,750,1346
543,good,36,1500,2195
545,good,36,2375,2375
546,bad,60,870,873
547,bad,60,1210,1450
549,good,24,600,1376
550,good,60,1000,1092
551,good,24,900,1307
552,good,48,830,1128
553,good,48,700,1698
554,good,60,825,1075
555,bad,60,1920,1920
556,good,48,800,1298
557,bad,36,1360,1362
559,good,36,1700,2022
560,good,48,700,1225
561,good,12,375,724
562,good,24,500,1346
563,bad,60,1000,1415
564,good,60,1000,1380
565,bad,60,1400,1500
566,good,36,900,900
567,good,48,1100,1639
569,good,60,1020,1600
573,bad,60,1200,1532
574,good,24,340,900
575,bad,36,900,1100
576,bad,60,600,1556
577,good,48,900,1054
578,bad,60,1160,1285
579,bad,48,1200,1338
581,good,36,1100,1556
582,good,60,1100,1194
583,good,60,1450,1556
584,good,60,1000,1989
586,bad,36,400,925
589,good,60,1120,1395
590,good,60,1100,1137
592,bad,60,1100,1417
593,good,18,500,700
594,good,60,1000,1207
595,good,60,1100,1268
596,good,48,1200,1326
598,good,60,1050,1228
599,good,36,2000,2168
600,good,60,1650,2100
601,good,60,1000,1197
602,bad,24,360,510
603,good,36,300,325
604,good,36,690,1000
607,good,60,500,820
608,good,18,300,1275
610,good,60,600,1250
611,good,60,1000,1560
612,good,48,1200,1570
613,good,24,500,1045
614,good,36,425,500
615,good,48,1700,1800
616,good,12,500,1600
617,good,60,950,1177
619,bad,36,850,1100
620,good,36,1100,1256
621,good,48,1000,1469
622,bad,60,1600,1682
624,bad,36,675,675
625,good,60,900,1236
626,good,48,650,1265
627,good,60,1000,1204
629,good,36,950,1330
630,good,60,950,1200
631,bad,60,1350,1488
632,good,36,650,1695
634,good,60,1100,1112
635,good,60,600,1062
636,bad,48,800,1567
637,good,36,900,900
638,good,60,1100,1280
639,good,30,700,1340
641,bad,36,1600,2640
642,good,48,900,900
643,good,60,1300,1569
644,bad,60,1400,1937
645,good,60,1400,1403
646,good,24,1000,1501
647,bad,60,1150,1255
648,good,54,1300,1345
649,bad,60,1950,2134
650,good,60,1550,1590
651,bad,18,250,400
652,bad,60,1200,1406
653,bad,60,1600,1872
654,good,60,1000,1123
655,good,60,1000,1067
656,bad,60,2075,2253
658,good,36,1450,1992
659,good,12,400,1400
660,good,60,1150,1284
661,good,60,1500,1749
663,good,60,1000,1505
664,good,60,1200,1376
665,good,60,1200,2154
666,good,60,750,1138
667,good,60,1680,1931
668,good,60,1200,1698
669,good,60,1000,1279
671,bad,60,1000,1600
672,good,60,1200,2200
673,good,42,1300,2260
674,good,60,1550,1904
675,good,60,1380,1580
676,bad,36,1300,2810
677,good,36,700,700
678,good,24,600,1100
679,good,60,1650,1910
680,bad,60,1200,1360
681,good,60,700,1030
682,bad,36,375,460
683,good,60,1150,1339
684,good,24,370,525
685,good,60,1000,1315
686,good,60,1250,1517
687,bad,48,1100,1330
691,good,60,1900,4063
692,good,48,500,1064
693,good,60,1000,1606
695,good,60,1350,1381
696,good,24,800,816
697,bad,48,900,1150
698,bad,60,1800,2215
699,bad,60,1420,1586
700,good,12,300,1469
701,good,60,1000,1556
702,good,48,850,1720
703,good,60,1550,1650
704,good,48,1000,1191
706,bad,24,900,1100
707,good,48,1000,1480
708,bad,60,800,1258
709,good,48,950,1544
710,good,60,1300,1404
711,good,48,1200,2053
712,bad,36,1250,1575
713,bad,60,1055,1430
714,bad,60,1400,1409
715,good,48,650,962
716,good,24,1400,1400
717,good,12,350,1571
720,bad,60,1600,1842
721,good,48,750,841
723,good,60,950,957
724,good,24,450,950
726,bad,60,1600,1800
727,good,48,1760,2212
729,bad,60,1000,1570
730,bad,36,500,1569
731,bad,48,1400,1590
733,bad,18,350,450
734,bad,48,1000,2008
736,good,24,530,630
737,good,60,1200,1571
738,bad,48,1300,1770
739,good,36,500,1600
740,good,48,1500,1627
741,good,24,500,1094
742,good,60,1350,1570
743,bad,60,800,935
744,bad,60,1900,2259
745,good,36,800,1419
746,bad,48,500,820
747,good,60,900,1060
749,good,60,1200,1372
750,good,24,250,758
751,good,60,1000,1164
754,good,60,1300,1557
755,good,48,900,1700
756,bad,48,1571,1571
757,good,60,900,1654
758,good,24,300,350
759,good,30,300,420
760,bad,48,1700,2173
761,bad,36,3000,6802
763,good,60,1200,1425
764,good,36,450,546
766,bad,48,1250,1776
767,good,36,800,1200
768,bad,48,1400,1403
769,bad,60,900,1086
770,good,60,1200,1200
771,good,60,1700,2200
772,good,60,1400,2360
773,good,18,750,1758
774,good,60,700,1783
775,bad,60,1100,1108
776,good,60,700,1136
777,good,60,1350,1557
778,good,48,800,886
779,good,60,1000,1490
780,good,36,400,400
781,bad,60,800,1105
783,bad,18,700,1256
784,good,60,1400,1571
785,good,36,1000,1443
786,good,60,1060,1160
787,good,48,768,896
788,good,60,1300,1639
789,good,24,350,1571
791,good,60,1200,1590
793,good,36,300,450
794,good,24,1000,1536
797,good,60,1000,1264
798,good,36,1000,1313
799,good,48,700,1365
800,good,60,900,1105
801,good,24,500,1100
802,good,24,850,1480
803,good,60,1150,1310
804,good,36,950,1265
806,good,36,950,980
807,good,24,400,600
808,bad,48,1400,1635
809,bad,48,800,1376
810,good,36,675,675
811,good,60,1800,2000
812,bad,60,978,978
813,bad,60,1130,1130
814,good,48,1600,2600
815,good,36,800,950
816,bad,60,1400,1493
818,good,60,1100,1224
819,bad,36,650,1000
820,bad,60,2100,2500
822,bad,24,400,1242
823,good,36,400,725
824,good,36,500,720
826,bad,60,1150,1150
827,good,36,1000,1655
828,good,60,900,1389
829,good,48,1100,1310
830,bad,60,750,758
831,good,24,1150,1770
832,bad,36,350,425
833,good,24,250,1035
834,good,60,1200,1226
835,good,36,1500,1750
836,good,36,1000,1800
837,good,60,600,2150
838,good,48,1700,1713
839,bad,36,600,975
840,good,60,400,650
841,good,60,800,916
842,good,36,625,625
845,good,12,125,325
846,good,36,850,1014
847,bad,60,1250,1525
848,good,60,1000,1144
849,good,36,400,550
850,good,60,1000,1556
851,good,60,915,1396
852,good,60,1000,2470
853,good,12,600,1890
854,good,36,475,575
856,bad,36,650,710
857,good,60,1900,2600
858,good,60,1800,1849
859,good,12,350,450
860,good,60,1100,1369
861,good,60,1800,2281
862,bad,48,3075,4575
863,good,60,1250,1332
864,good,36,200,1240
865,good,60,900,931
866,good,60,1000,1330
867,good,18,860,1192
868,bad,48,800,950
870,bad,48,1500,1810
871,bad,60,1300,1700
873,good,24,600,750
875,good,36,700,1300
876,bad,48,700,1111
877,good,60,970,1264
879,bad,48,1100,1123
880,good,60,1000,1386
881,good,24,900,1395
882,bad,60,900,1127
883,good,60,800,960
884,bad,60,1500,2179
885,good,36,850,886
886,good,60,800,1314
887,bad,36,2400,2800
888,good,60,600,960
889,bad,60,750,873
890,good,36,300,1111
892,good,60,1000,1995
893,good,60,900,1333
894,good,36,900,1358
895,good,48,1270,1613
896,good,60,1300,1855
897,good,60,1800,2271
898,bad,60,925,925
899,good,60,1750,1950
900,good,6,500,2058
901,good,60,1100,1600
902,good,60,800,860
903,good,36,350,875
905,good,60,1000,1260
906,good,36,950,1705
909,good,12,300,1479
911,bad,48,2000,2201
912,good,60,1250,1350
913,good,48,700,1386
915,good,36,400,1608
916,good,60,1300,1585
917,good,60,900,1320
918,good,60,2600,3190
919,good,60,1000,1500
920,good,60,1250,1571
921,bad,60,1150,1386
922,good,60,1400,1680
924,good,12,240,1488
925,good,12,920,1396
926,good,48,750,1255
927,good,48,1480,1883
928,good,36,375,375
929,good,60,2500,3070
930,good,36,1400,2189
931,good,60,1450,1692
932,bad,60,2000,2216
934,good,24,425,750
935,good,60,1400,1830
936,good,60,1100,1242
937,bad,48,600,882
938,good,60,600,1137
939,bad,24,275,275
940,bad,36,580,580
941,good,6,850,1403
942,good,36,700,957
943,good,24,1300,1300
944,bad,48,579,1097
945,good,36,700,1033
946,good,60,763,913
947,bad,60,960,962
948,bad,60,1075,1123
949,bad,36,1000,1400
950,good,60,1500,1800
951,good,48,1800,1980
954,good,60,1100,1646
956,good,60,1000,1365
957,bad,36,600,1600
958,good,48,940,1133
959,good,12,100,550
960,bad,36,350,350
961,good,12,1000,1321
962,bad,60,1200,1225
963,good,60,850,950
964,bad,36,475,550
965,good,60,1150,1277
966,bad,60,1050,1172
968,good,48,1700,2185
970,good,60,1000,1257
971,good,12,100,600
973,good,12,1100,2413
974,good,60,1000,1388
975,good,60,1600,1636
976,good,60,750,850
977,good,24,700,1757
978,good,60,1350,1600
979,good,18,1200,2022
980,bad,60,1200,1200
981,good,60,1550,1550
982,bad,36,400,710
983,good,60,950,1286
985,good,36,600,1638
986,bad,60,1700,1700
987,good,24,500,1850
988,good,60,1200,1677
989,good,36,1500,1900
990,good,48,1000,1601
991,good,6,300,1200
992,good,12,250,1456
993,good,60,1450,1456
995,bad,36,1000,1337
996,good,60,1000,1359
997,good,36,625,801
998,bad,60,850,989
999,good,60,2000,2536
1000,bad,60,1000,1129
1001,good,36,500,1314
1002,bad,48,1000,1812
1003,good,60,300,1742
1004,good,48,1250,1455
1005,bad,36,950,1150
1006,good,24,500,1900
1007,bad,60,1400,1800
1008,good,60,950,1070
1009,bad,60,850,1098
1010,bad,60,1600,1750
1011,good,48,1210,1325
1012,bad,48,600,710
1013,good,36,300,1268
1014,bad,60,2350,2679
1015,good,60,850,989
1016,good,60,1220,1505
1017,bad,36,700,900
1018,good,36,700,700
1019,bad,60,650,1295
1020,bad,60,650,1295
1021,good,60,750,970
1023,good,24,500,1495
1024,bad,36,475,690
1025,bad,60,1550,1679
1027,good,12,300,1600
1029,good,24,600,980
1030,good,48,1400,1602
1031,good,24,512,1255
1032,good,60,1000,1282
1033,bad,60,900,1168
1034,good,60,1200,1200
1035,good,36,650,1100
1036,good,60,1550,1700
1037,bad,60,1100,1256
1038,good,36,1100,1110
1039,good,60,1850,1852
1040,good,48,500,1114
1041,bad,36,950,1350
1042,good,60,1600,1849
1044,good,36,1100,2471
1045,good,60,1350,1583
1046,good,36,650,1136
1048,good,48,700,1104
1050,good,42,1700,1850
1052,good,12,500,700
1053,good,60,1200,1214
1054,bad,60,1400,1530
1055,good,60,750,1888
1056,good,60,1250,1346
1057,good,60,1000,1194
1058,bad,48,1200,1479
1059,good,60,1000,1755
1063,good,60,1350,1896
1064,good,18,500,600
1065,good,60,1400,1500
1066,good,60,1650,1852
1067,bad,24,800,1298
1068,good,60,1100,1175
1069,good,60,1900,1994
1070,good,60,750,818
1073,good,48,1000,1323
1074,good,60,700,1698
1075,bad,48,1100,1365
1076,good,48,1000,1628
1077,bad,36,105,105
1078,good,24,400,2230
1079,good,60,1250,1816
1080,good,60,933,964
1081,bad,36,600,675
1082,good,60,1330,1330
1083,good,60,1350,1612
1084,good,6,475,1323
1085,good,60,900,1281
1086,good,36,400,830
1087,bad,60,1000,1000
1089,good,48,950,1490
1090,good,36,1000,1100
1091,good,24,400,1034
1092,good,36,500,550
1093,bad,60,800,866
1094,bad,24,550,550
1095,good,60,1300,1695
1096,bad,60,850,972
1097,good,36,475,550
1098,good,60,950,984
1099,bad,36,300,1012
1100,good,48,900,1039
1101,good,48,650,650
1102,good,12,400,790
1103,good,60,1600,1600
1104,good,60,1500,1615
1105,good,60,1000,1450
1106,good,36,500,635
1107,bad,60,1400,1411
1108,good,60,2000,2250
1109,bad,48,1000,1260
1110,good,60,1500,1594
1111,bad,36,490,690
1112,good,36,900,1139
1113,good,48,1390,1390
1114,good,60,1000,1671
1117,good,60,1100,1172
1118,good,60,1000,1331
1119,bad,24,1200,2257
1120,bad,60,1400,1475
1121,bad,36,1200,2140
1122,good,48,1250,1365
1123,bad,48,860,970
1124,good,60,600,1264
1125,good,60,1000,1104
1126,good,48,750,1128
1127,good,36,900,1717
1128,good,36,350,1426
1129,bad,60,600,790
1131,good,60,1100,1380
1132,bad,60,700,719
1134,good,60,1100,1240
1135,bad,24,1150,1586
1137,bad,60,850,1149
1138,bad,60,1600,1912
1139,bad,60,1500,1813
1140,bad,36,300,550
1141,good,60,1080,1428
1142,good,60,700,2273
1143,good,36,950,1000
