topic,title,link,text
sport,Роджер Федерер в двадцатый раз выиграл турнир «Большого шлема»,https://sport.rbc.ru/news/5a6db83e9a794790e4885e98,"Матч между Федерером и Чиличем завершился со счетом 6:2, 6:7 (5:7), 6:3, 3:6, 6:1. Игра продолжалась чуть более трех часов.

Финал стал единственным матчем на турнире для Федерера, в котором он не смог выиграть в трех сетах. Чилич оказался первым теннисистом, который смог взять у швейцарца хотя бы одну партию.

Для Федерера победа на Открытом чемпионате Австралии стала уже двадцатой на турнирах «Большого шлема». В Австралии он победил шесть раз. Также он один раз выиграл «Ролан Гаррос», стал восьмикратным победителем Уимблдона и пять раз победил на Открытом чемпионате США.

Федерер является рекордсменом мужского тенниса по количеству выигранных турниров «Большого шлема». На втором месте по этому показателю идет Рафаэль Надаль, который выиграл 16 турниров. В женском разряде только трем теннисисткам удавалось побеждать на турнирах этой серии чаще — Штеффи Граф выиграла 22 турнира, Серена Уильямс — 23, Маргарет Корт — 24.

Федерер повторил рекорд по количеству побед на Открытом чемпионате Австралии. По шесть титулов, помимо швейцарца, выигрывали Новак Джокович и Рой Эмерсон.

Швейцарец все еще не стал самым возрастным победителем турниров «Большого шлема» Открытой эры. В 1972 году в Мельбурне победил Кен Розуолл, которому в тот момент было 37 лет 2 месяца и 1 день. Федереру в день финала исполнилось 36 лет 5 месяцев и 20 дней.

Первой ракеткой мира на следующей неделе останется Рафаэль Надаль, который в Австралии дошел до четвертьфинала. Испанец не смог доиграть этот матч против Марина Чилича из-за травмы ноги.

Федерер и Чилич встретились в финале турнира «Большого шлема» во второй раз за год. В 2017 году Федерер обыграл хорвата в финале Уимблдона в трех сетах.

На Australian Open-2017 накануне в женском одиночном разряде победила датчанка Каролина Возняцки. В женском парном разряде выиграли венгерка Тимеа Бабош и француженка Кристина Младенович, которые победили россиянок Елену Веснину и Екатерину Макарову. В мужском парном разряде титул достался австрийцу Оливеру Мараху и хорвату Мате Павичу. В миксте победили канадка Габриэла Дабровски и хорват Мате Павич."
sport,Скончалась двукратная чемпионка СССР по фигурному катанию,https://sport.rbc.ru/news/5a5c91309a7947598db12126,"Горлинская (в замужестве Герасимова) скончалась в возрасте 86 лет. Об этом сообщает Федерация фигурного катания России.

Фигуристка стала победительницей чемпионата СССР в парном катании в 1955 и 1956 годах. Также она выиграла серебро на Всемирной зимней Универсиаде в Варшаве в 1956 году.

До победы на чемпионате СССР она трижды завоевывала серебро — спортсменка занимала второе место в 1952, 1953 и 1954 годах.

Горлинская стала первой советской фигуристкой, выступившей в парном катании на чемпионате Европы. В 1956 году она представляла СССР на континентальном первенстве вместе с Юрием Киселевым, однако в число призеров не вошла — пара заняла восьмое место.

По завершении карьеры фигуристки Горлинская стала тренером. Среди ее учеников были Владимир Ковалев, Галина Карелина, Геннадий Карпоносов, Вячеслав Жигалин, Елена Жаркова, Василий Благов и другие.

Также Горлинская обслуживала соревнования в качестве арбитра. В том числе она работала на чемпионатах СССР как судья всесоюзной категории."
sport,Зайцева объявила о фабрикации доказательств допинга на Олимпиаде в Сочи,https://sport.rbc.ru/news/5a65baac9a794751ef454082,"В понедельник Спортивный арбитражный суд (CAS) начнет рассмотрение апелляций, поданных российскими спортсменами на решение МОК о пожизненной дисквалификации. Перед началом заседаний CAS телекомпания CNN взяла комментарии у Ольги Зайцевой и еще одного призера Сочи-2014, лыжника Никиты Крюкова. Оба спортсмена заявили о своей невиновности.

«По моему мнению, доказательства были сфабрикованы и взяты из воздуха. Я думаю, что это просто чьи-то фантазии, и я не понимаю, почему люди им верят. Все обвинения нереальны, я не могу их принять, они просто безосновательны. Мне очень важно, чтобы мои дети знали о моей невиновности. Я хочу убрать это пятно, которое загрязняет мою чистую карьеру. Я хочу, чтобы мои дети ничего подобного обо мне больше не видели и не слышали», — сказала Зайцева.

Зайцева завершила карьеру после Олимпиады в Сочи, однако после того как МОК объявил о ее пожизненной дисквалификации, подала апелляцию в CAS. Биатлонистка настаивает на том, что за всю карьеру она не применяла допинга и ни разу не была уличена в нарушении антидопинговых правил. МОК вынес решение о дисквалификации, основываясь в первую очередь на показаниях Григория Родченкова, который рассказал о подмене проб на Олимпиаде в Сочи. Зайцевой не было в первоначальном списке бывшего главы московской антидопинговой лаборатории, однако в конце 2017 года Родченков обвинил в употреблении допинга и ее. По его словам, для Зайцевой была создана специальная программа, которая позволяла ей обходить антидопинговые правила.

Апелляция Никиты Крюкова, который выиграл в Сочи серебро, будет рассмотрена в понедельник, 22 января. «Я надеюсь на справедливое рассмотрение моего дела. Надеюсь, что они не только выслушают, но и учтут факты, которые мы с моими адвокатами намерены представить. Нет никаких доказательств того, что я виновен», — сказал Крюков.

Лыжник добавил, что надеется на участие в Олимпиаде 2018 года, однако пока не знает, к чему готовиться. «Ничего пока неясно, и я понятия не имею, к каким гонкам готовиться. Мой тренер составляет план тренировок, но и он не знает, в каких гонках я приму участие», — сказал Крюков.

МОК отстранил от участия в Олимпийских играх всех российских спортсменов, которые уличены в нарушении антидопинговых правил на Играх в Сочи. После этого в CAS были поданы 43 апелляции. Если CAS их не удовлетворит, дисквалифицированные российские спортсмены не смогут выступить на Олимпиаде."
realty,Крупнейший в Европе гараж выставили на продажу в столице,https://realty.rbc.ru/news/5a6f2f3c9a7947964e5c75ab,"Крупнейший в Европе десятиуровневый гаражный комплекс на 3880 машино-мест выставлен на торги. Объект расположен на 1-й улице Измайловского Зверинца в Восточном административном округе столицы. Об этом сообщает «Российская газета» со ссылкой на дирекцию гаражного строительства Москвы.

Паркинг площадью более 151 тыс. кв. м ввели в эксплуатацию в 2012 году в два этапа, он состоит из двух объектов права, уточняется в заметке. На аукцион пока выставили сданную на первом этапе часть комплекса на 2692 машино-места. Ее начальная цена составляет 2,5 млрд руб., следует из публикации.

В гараже оборудованы шесть въездов и смонтировано 12 лифтов. Кроме этого, в комплексе есть системы пожарной сигнализации и пожаротушения, видеонаблюдения, охранная сигнализация и другие современные инженерные системы, уточняет «РГ».

Заявки от потенциальных покупателей принимаются до 26 февраля, говорится в заметке. Торги пройдут 5 марта 2018 года, поясняет издание.

Стоимость машино-места в столичных новостройках начинается от 300 тыс. руб., сообщили ранее «РБК-Недвижимости» риелторы."
realty,Минстрой предложил снизить налоги для легальных арендаторов квартир,https://realty.rbc.ru/news/5a6ec9079a79471a86479ea7,"Министерство строительства и ЖКХ РФ разработало законопроект о снижении налогов для арендаторов жилья путем оформления налогового вычета​. Об этом «Российской газете» сообщил замминистра строительства и ЖКХ Никита Стасишин.

Получить вычет смогут только обладатели официальных долгосрочных договоров найма помещений, уточняется в публикации. Если арендный договор заключен на срок более 11 месяцев и зарегистрирован в Росреестре, арендатор сможет рассчитывать на получение налогового вычета в размере 13% от НДФЛ, пояснила газета.

«Такие нормативные инициативы мы подготовили и в ближайшее время придем к Николаю Петровичу Николаеву, главе комитета Госдумы по собственности, и Галине Петровне (Хованской), главе комитета Госдумы по жилищной политике и ЖКХ, за помощью и экспертной оценкой», — сообщил Никита Стасишин. Впервые инициативу о налоговом вычете для арендаторов Минстрой озвучил в ноябре 2017 года.

Размер вычета предполагается, как и при покупке жилья, с 2 млн руб. Вернуть налоги с аренды смогут только наниматели, которые не пользовались вычетом при покупке жилья, говорится в публикации. Если имущественный вычет на покупку жилья использован не полностью, остаток можно будет получить в виде соцвычета по найму жилья и наоборот.

Для получения вычета арендаторам нужно подавать декларацию в налоговую инспекцию, сказано в заметке. Возврат налога с аренды будет перечисляться на счет в банке. Также налог возможно вернуть на работе: для этого нужно получить в налоговой документ, позволяющий не вычитать НДФЛ из зарплаты.

Минстрой полагает, что эти меры будут способствовать выводу из тени доходов, полученных от нелегальной аренды квартир, с которых сейчас не платятся налоги в бюджет, уточнило издание. По прогнозам Минстроя и АИЖК, до 2025 года 50% арендного жилья в России выйдет из теневого сектора."
realty,Власти решили упростить подключение дач к коммуникациям ​,https://realty.rbc.ru/news/5a6ae7c79a7947e13e4e4a89,"Заместитель министра экономического развития Российской Федерации, руководитель Росреестра Виктория Абрамченко представила в Государственной думе проект федерального закона, упрощающего строительство, реконструкцию, капитальный ремонт и эксплуатацию линейных объектов. К линейным объектам относятся линии электропередачи, линии связи (в том числе линейно-кабельные сооружения), водо-, газо- и другие трубопроводы. Об этом сообщает «Российская газета».

Законопроект предлагает установить единый и упрощенный порядок регистрации линейных объектов, разъяснили газете в Росреестре. По действующим законам, чтобы построить и узаконить новые линейные объекты, нужно оформлять земли, на которых они расположены. Срок оформления участков под строительство может растянуться до двух лет, в то время как сетевые организации, занимающиеся реконструкцией линейных объектов, обязаны уложиться в срок до четырех месяцев, уточнила Абрамченко.

Новый закон предлагает размещать линейные объекты на условиях публичного сервитута без образования земельного участка, постановки его на кадастровый учет и регистрации прав на него, сказано в публикации. «Принятие законопроекта позволит решить комплекс накопившихся проблем в оформлении линейных объектов», — считает глава Росреестра.

В настоящее время публичный сервитут может применяться только для ремонта линейных объектов. «Оформить участок для нового объекта инфраструктуры в сложившейся застройке практически невозможно. Публичный сервитут позволяет оперативно решить проблемы инфраструктурной обеспеченности таких территорий», — отметила Абрамченко.

Госдума приняла законопроект в первом чтении, сообщила «Российская газета». В текущей редакции документ запрещает устанавливать публичные сервитуты на садовых, огородных и дачных участках, а также на участках, предназначенных для индивидуальной застройки. Но это можно сделать, если сами граждане примут такое решение — к примеру, для газификации садоводческого товарищества, пояснило издание."